assetId,assetInspection,assetOverdue,activeAnomalies,inspectionCompliance,criticalassetriskIndex
AST-001,0,0,145,100.0,100.0
AST-002,1,0,146,100.0,100.0
AST-003,0,0,145,100.0,100.0
AST-004,0,0,145,100.0,100.0
AST-005,1,0,145,100.0,100.0
AST-006,0,0,146,100.0,100.0
AST-001,0,0,145,100.0,100.0
AST-002,0,0,146,100.0,100.0
AST-003,1,0,145,100.0,100.0
AST-004,0,0,145,100.0,100.0
AST-005,0,0,145,100.0,100.0
AST-006,0,0,146,100.0,100.0
AST-001,1,0,145,100.0,100.0
AST-002,0,0,146,100.0,100.0
AST-003,0,0,145,100.0,100.0
AST-004,1,0,145,100.0,100.0
AST-005,0,0,145,100.0,100.0
AST-006,0,0,146,100.0,100.0
AST-001,0,0,145,100.0,100.0
AST-002,1,0,146,100.0,100.0
AST-003,0,0,145,100.0,100.0
AST-004,0,0,145,100.0,100.0
AST-005,0,0,145,100.0,100.0
AST-006,1,0,146,100.0,100.0
AST-001,0,0,145,100.0,100.0
AST-002,0,0,146,100.0,100.0
AST-003,1,0,145,100.0,100.0
AST-004,0,0,145,100.0,100.0
AST-005,0,0,145,100.0,100.0
AST-006,0,0,146,100.0,100.0
