assetId,name,type,zone,healthStatus,linkedCameras,criticality,criticalityMax,x,y,lastInspectionDate,inspectionFrequency
AST-001,Turbine Alpha,Turbine,North Plant,good,2,7,10,15.5,25.3,2026-02-01,30
AST-002,Pump Beta,Pump,South Plant,warning,1,5,10,45.2,60.8,2026-01-28,15
AST-003,Compressor Gamma,Compressor,Processing Unit A,critical,3,9,10,70.1,35.2,2026-01-15,7
AST-004,Generator Delta,Generator,Processing Unit B,good,2,6,10,20.8,75.5,2026-02-05,30
AST-005,Conveyor Epsilon,Conveyor,Storage Area,good,1,4,10,85.3,15.7,2026-02-07,60
AST-006,Valve Zeta,Valve,North Plant,warning,1,8,10,12.4,40.1,2026-01-20,14
AST-007,Motor Eta,Motor,South Plant,good,2,5,10,50.6,80.3,2026-02-03,30
AST-008,Boiler Theta,Boiler,Processing Unit A,good,2,7,10,65.8,28.9,2026-02-06,30
AST-009,Chiller Iota,Chiller,Processing Unit B,warning,1,6,10,18.3,68.2,2026-01-25,15
AST-010,Tank Kappa,Tank,Storage Area,good,1,3,10,88.7,22.4,2026-02-08,90
AST-011,Reactor Lambda,Reactor,North Plant,critical,3,10,10,10.2,30.5,2026-01-10,7
AST-012,Separator Mu,Separator,South Plant,good,2,5,10,48.9,72.1,2026-02-04,30
AST-013,Mixer Nu,Mixer,Processing Unit A,good,1,4,10,72.5,40.3,2026-02-07,45
AST-014,Dryer Xi,Dryer,Processing Unit B,warning,2,6,10,25.1,78.6,2026-01-30,20
AST-015,Filter Omicron,Filter,Storage Area,good,1,3,10,82.4,18.9,2026-02-08,60
AST-016,Heater Pi,Heater,North Plant,good,2,5,10,14.7,35.8,2026-02-02,30
AST-017,Cooler Rho,Cooler,South Plant,warning,1,6,10,52.3,65.4,2026-01-27,15
AST-018,Extruder Sigma,Extruder,Processing Unit A,good,2,7,10,68.2,32.7,2026-02-05,30
AST-019,Press Tau,Press,Processing Unit B,good,1,5,10,22.6,70.9,2026-02-06,45
AST-020,Silo Upsilon,Silo,Storage Area,good,1,2,10,90.1,25.6,2026-02-09,120
